iter	Logloss
0	0.6780368797
1	0.6670597753
2	0.6576239799
3	0.6439109553
4	0.6335031621
5	0.6245795442
6	0.6133456764
7	0.6013535489
8	0.5934466258
9	0.5846055356
10	0.5761371304
11	0.5687076514
12	0.5618100144
13	0.5512223853
14	0.5405392262
15	0.5331345543
16	0.5275494247
17	0.521445267
18	0.5132742903
19	0.5053591737
20	0.4984114671
21	0.4913155632
22	0.4850068427
23	0.4781603745
24	0.4704457118
25	0.4642462561
26	0.4595402297
27	0.4531667473
28	0.44784779
29	0.4417505958
30	0.4338496848
31	0.4285619626
32	0.423774981
33	0.4179815319
34	0.4144432736
35	0.4090943953
36	0.4019372644
37	0.3959146551
38	0.3895173565
39	0.3856473208
40	0.3788647858
41	0.3745151815
42	0.3693997449
43	0.3635259379
44	0.360228871
45	0.3569644
46	0.3526459177
47	0.3481321517
48	0.3444525348
49	0.3387577186
50	0.3339494203
51	0.3307088044
52	0.3278861689
53	0.3242427523
54	0.3218890961
55	0.3193131857
56	0.3165987583
57	0.3138876066
58	0.3116410432
59	0.3088072041
60	0.3065542279
61	0.3046473778
62	0.3004143548
63	0.2986204261
64	0.29520743
65	0.2927969551
66	0.2894892981
67	0.287569193
68	0.2848375841
69	0.2820433984
70	0.2791233982
71	0.2748756131
72	0.2736406984
73	0.2711467208
74	0.2684334936
75	0.265847827
76	0.2632805421
77	0.2615092269
78	0.2587733502
79	0.2547561177
80	0.2520218778
81	0.2497676181
82	0.2477658792
83	0.245784019
84	0.243980471
85	0.2428897421
86	0.2412401468
87	0.2390848969
88	0.2359571583
89	0.234870797
90	0.2332477108
91	0.2316986363
92	0.2301875802
93	0.2287172644
94	0.2268822949
95	0.225739759
96	0.2234826905
97	0.2219535595
98	0.2199426539
99	0.2181331574
100	0.2163248677
101	0.2141672885
102	0.2128288722
103	0.2116170353
104	0.2101519384
105	0.2080745306
106	0.2069990424
107	0.2053620906
108	0.2042205094
109	0.2031380037
110	0.2013747939
111	0.2008326372
112	0.1998710587
113	0.199041516
114	0.1976451492
115	0.1959855314
116	0.1943204226
117	0.1932184034
118	0.1919188335
119	0.1909532955
120	0.1889288879
121	0.1873019826
122	0.1865673602
123	0.1854138324
124	0.1842736623
125	0.1827135537
126	0.1810347716
127	0.1798984599
128	0.1788619537
129	0.1777717213
130	0.1768996394
131	0.1755341094
132	0.1740534842
133	0.1730084281
134	0.1719620439
135	0.171285468
136	0.1700593813
137	0.1691193524
138	0.1681481488
139	0.167739158
140	0.1667470888
141	0.1653668212
142	0.1645211088
143	0.1638355277
144	0.1624476311
145	0.1614515726
146	0.1604105186
147	0.1596050156
148	0.1588848959
149	0.1584224267
150	0.1579498122
151	0.1575042564
152	0.1559845826
153	0.1549243425
154	0.1544018957
155	0.1536490704
156	0.1530747729
157	0.1522858209
158	0.1512827979
159	0.1509219261
160	0.1498121261
161	0.1489539187
162	0.1485524449
163	0.1479850907
164	0.1472959155
165	0.146616806
166	0.1460356081
167	0.1454578954
168	0.1443783558
169	0.1438360175
170	0.1434386
171	0.1428098335
172	0.1422832806
173	0.1414695909
174	0.1407563659
175	0.1404445621
176	0.1400261191
177	0.139624718
178	0.1390299492
179	0.1386614698
180	0.1384652655
181	0.1379278161
182	0.137547084
183	0.1370563606
184	0.1362470656
185	0.1353852262
186	0.1349828034
187	0.1345826285
188	0.1342466128
189	0.1336459728
190	0.1331469634
191	0.1327154754
192	0.1324049093
193	0.1321272766
194	0.1317363176
195	0.1309715883
196	0.1303909773
197	0.1297504702
198	0.1289582958
199	0.1282836932
200	0.1278390512
201	0.1271505698
202	0.12664039
203	0.126232628
204	0.1257535958
205	0.1256582753
206	0.1251661674
207	0.1246024434
208	0.1241613868
209	0.1238694226
210	0.1235079706
211	0.1231979674
212	0.1227564821
213	0.1223940355
214	0.1217241389
215	0.1210353589
216	0.1206983204
217	0.1201641472
218	0.1198663599
219	0.1194630222
