iter	Passed	Remaining
0	0	715
1	1	573
2	1	533
3	2	518
4	2	506
5	3	499
6	3	485
7	3	477
8	4	479
9	4	477
10	5	470
11	5	465
12	6	463
13	6	463
14	6	455
15	7	450
16	7	447
17	8	443
18	8	440
19	8	439
20	9	438
21	9	435
22	10	434
23	10	434
24	11	432
25	11	433
26	11	431
27	12	429
28	12	429
29	13	428
30	14	445
31	14	444
32	15	445
33	15	445
34	16	446
35	16	446
36	17	444
37	17	443
38	18	444
39	18	443
40	18	441
41	19	441
42	19	440
43	20	455
44	21	454
45	21	452
46	22	450
47	22	450
48	23	448
49	23	447
50	23	445
51	24	443
52	24	443
53	25	441
54	25	441
55	26	440
56	26	440
57	27	438
58	27	438
59	27	437
60	28	435
61	28	434
62	29	433
63	29	433
64	30	432
65	30	431
66	30	430
67	31	429
68	31	427
69	32	426
70	32	426
71	33	425
72	33	424
73	33	424
74	34	422
75	34	421
76	35	419
77	35	418
78	35	417
79	36	416
80	36	415
81	36	414
82	37	413
83	37	413
84	38	412
85	38	411
86	39	410
87	39	409
88	39	408
89	40	408
90	40	408
91	41	407
92	41	406
93	42	406
94	42	405
95	43	405
96	43	405
97	43	404
98	44	403
99	44	403
100	45	402
101	45	401
102	46	401
103	46	401
104	46	400
105	47	400
106	47	399
107	48	398
108	48	398
109	49	397
110	49	396
111	49	395
112	50	395
113	50	395
114	51	394
115	51	393
116	52	392
117	52	392
118	52	392
119	53	391
120	53	391
121	54	391
122	54	390
123	55	390
124	55	389
125	56	388
126	56	388
127	56	387
128	57	387
129	57	386
130	58	386
131	58	385
132	59	385
133	59	384
134	59	383
135	60	383
136	60	382
137	61	382
138	61	381
139	62	380
140	62	380
141	62	380
142	63	379
143	63	378
144	64	379
145	64	378
146	65	377
147	65	377
148	65	376
149	66	376
150	66	376
151	67	375
152	67	375
153	68	375
154	68	375
155	69	374
156	69	374
157	70	373
158	70	373
159	70	372
160	71	372
161	71	371
162	72	371
163	72	370
164	73	370
165	73	369
166	74	369
167	74	369
168	74	368
169	75	368
170	75	367
171	76	367
172	76	366
173	78	371
174	78	370
175	79	370
176	80	375
177	81	375
178	81	374
179	82	373
180	82	373
181	82	372
182	83	371
183	83	370
184	84	370
185	84	370
186	85	369
187	85	369
188	85	368
189	86	368
190	86	367
191	87	367
192	87	366
193	88	365
194	88	365
195	88	364
196	89	363
197	89	363
198	90	362
199	90	362
200	90	361
201	91	360
202	91	360
203	92	359
204	92	359
205	93	358
206	93	358
207	93	357
208	94	357
209	94	356
210	95	356
211	95	355
212	96	355
213	96	354
214	96	353
215	97	353
216	97	353
217	98	352
218	98	351
219	98	350
220	99	349
221	99	349
222	100	348
223	100	348
224	100	347
225	101	347
226	101	346
227	102	346
228	102	346
229	103	345
230	103	345
231	104	344
232	104	344
233	105	343
234	105	343
235	105	342
236	106	342
237	106	341
238	107	341
239	107	340
240	108	340
241	108	340
242	109	340
243	109	339
244	110	339
245	110	338
246	110	338
247	111	337
248	111	337
249	112	336
250	112	336
251	113	335
252	113	334
253	113	334
254	114	333
255	114	333
256	115	332
257	115	332
258	115	331
259	116	331
260	116	330
261	117	329
262	117	329
263	117	328
264	118	328
265	118	327
266	119	327
267	119	326
268	120	326
269	120	325
270	120	325
271	121	324
272	121	324
273	122	323
274	122	322
275	122	322
276	123	321
277	123	321
278	124	320
279	124	320
280	124	319
281	125	319
282	125	318
283	126	318
284	126	317
285	127	317
286	127	316
287	127	315
288	128	315
289	128	314
290	129	314
291	129	313
292	130	315
293	130	314
294	131	314
295	131	313
296	132	313
297	132	312
298	133	311
299	133	311
300	133	310
301	134	310
302	134	309
303	135	309
304	135	308
305	135	308
306	136	308
307	136	307
308	137	307
309	137	306
310	138	306
311	138	305
312	139	305
313	139	304
314	139	304
315	140	303
316	140	303
317	141	302
318	141	302
319	141	301
320	142	301
321	143	301
322	143	300
323	143	300
324	144	300
325	144	299
326	145	299
327	145	298
328	146	298
329	146	297
330	146	297
331	147	296
332	147	296
333	148	295
334	148	295
335	149	294
336	149	294
337	150	293
338	150	293
339	150	292
340	151	292
341	151	291
342	152	291
343	152	291
344	153	290
345	153	290
346	153	289
347	154	289
348	154	288
349	155	288
350	155	287
351	155	287
352	156	286
353	157	287
354	158	287
355	158	286
356	158	286
357	159	285
358	159	285
359	159	284
360	160	283
361	160	283
362	161	282
363	161	282
364	161	281
365	162	281
366	162	280
367	163	281
368	164	281
369	164	280
370	165	280
371	165	279
372	166	279
373	166	278
374	166	278
375	167	277
376	167	277
377	168	276
378	168	276
379	169	276
380	169	275
381	170	275
382	170	274
383	170	274
384	171	273
385	171	273
386	172	272
387	172	272
388	173	271
389	173	272
390	174	271
391	174	271
392	175	270
393	175	270
394	176	269
395	176	269
396	176	268
397	177	268
398	177	267
399	178	267
400	178	266
401	178	266
402	179	265
403	179	265
404	180	264
405	180	264
406	181	264
407	181	263
408	182	263
409	182	262
410	182	262
411	183	261
412	183	261
413	184	260
414	184	260
415	185	259
416	185	259
417	185	258
418	186	258
419	186	257
420	187	257
421	187	257
422	188	256
423	188	256
424	188	255
425	189	255
426	189	254
427	190	254
428	190	253
429	191	253
430	191	252
431	192	252
432	192	252
433	193	251
434	193	251
435	193	250
436	194	250
437	194	249
438	195	249
439	195	248
440	196	248
441	196	247
442	196	247
443	197	246
444	197	246
445	198	245
446	198	245
447	198	244
448	199	244
449	199	243
450	200	243
451	200	242
452	200	242
453	201	242
454	201	241
455	202	241
456	202	240
457	203	240
458	203	239
459	203	239
460	204	238
461	204	238
462	205	237
463	205	237
464	206	237
465	206	236
466	206	236
467	207	235
468	207	235
469	208	234
470	208	234
471	209	233
472	209	233
473	209	232
474	210	232
475	210	232
476	211	231
477	211	231
478	211	230
479	212	230
480	212	229
481	213	229
482	213	228
483	214	228
484	214	227
485	215	227
486	215	226
487	215	226
488	216	225
489	216	225
490	217	225
491	217	224
492	218	224
493	218	223
494	218	223
495	219	222
496	219	222
497	220	221
498	220	221
499	220	220
500	221	220
501	221	219
502	222	219
503	222	219
504	223	218
505	223	218
506	223	217
507	225	218
508	225	217
509	226	217
510	226	216
511	226	216
512	227	215
513	227	215
514	228	214
515	228	214
516	229	214
517	230	214
518	231	214
519	231	213
520	232	213
521	232	212
522	232	212
523	233	212
524	233	211
525	234	211
526	234	210
527	235	210
528	235	209
529	235	209
530	236	208
531	236	208
532	237	207
533	237	207
534	238	206
535	238	206
536	238	206
537	239	205
538	239	205
539	240	204
540	240	204
541	241	203
542	241	203
543	242	202
544	242	202
545	242	201
546	243	201
547	243	201
548	244	200
549	244	200
550	244	199
551	245	199
552	245	198
553	246	198
554	246	197
555	246	197
556	247	196
557	247	196
558	248	195
559	248	195
560	248	194
561	249	194
562	249	193
563	250	193
564	250	193
565	251	192
566	251	192
567	252	191
568	252	191
569	252	190
570	253	190
571	253	189
572	254	189
573	254	189
574	255	188
575	255	188
576	255	187
577	256	187
578	256	186
579	257	186
580	257	185
581	257	185
582	258	184
583	258	184
584	259	183
585	259	183
586	260	183
587	260	182
588	261	182
589	261	181
590	261	181
591	262	180
592	262	180
593	263	179
594	263	179
595	264	179
596	264	178
597	265	178
598	265	177
599	265	177
600	266	176
601	266	176
602	267	175
603	267	175
604	267	174
605	268	174
606	268	173
607	269	173
608	269	173
609	270	172
610	270	172
611	270	171
612	271	171
613	271	170
614	272	170
615	272	169
616	273	169
617	273	169
618	273	168
619	274	168
620	274	167
621	276	167
622	276	167
623	276	166
624	277	166
625	277	166
626	278	165
627	278	165
628	279	164
629	279	164
630	280	163
631	280	163
632	281	163
633	281	162
634	281	162
635	282	161
636	282	161
637	283	160
638	283	160
639	284	160
640	285	159
641	285	159
642	285	158
643	286	158
644	286	157
645	287	157
646	288	157
647	288	156
648	289	156
649	289	155
650	290	155
651	290	155
652	291	154
653	291	154
654	291	153
655	292	153
656	292	152
657	293	152
658	293	151
659	294	151
660	295	151
661	295	151
662	296	150
663	296	150
664	297	149
665	297	149
666	298	148
667	298	148
668	298	147
669	299	147
670	299	146
671	300	146
672	300	146
673	300	145
674	301	145
675	301	144
676	302	144
677	302	143
678	303	143
679	303	142
680	303	142
681	304	141
682	304	141
683	305	140
684	305	140
685	305	140
686	306	139
687	306	139
688	307	138
689	307	138
690	307	137
691	308	137
692	308	136
693	309	136
694	309	135
695	310	135
696	310	134
697	310	134
698	311	134
699	311	133
700	312	133
701	312	132
702	313	132
703	313	131
704	314	131
705	314	130
706	314	130
707	315	130
708	315	129
709	316	129
710	316	128
711	316	128
712	317	127
713	317	127
714	318	126
715	318	126
716	319	125
717	319	125
718	320	125
719	320	124
720	320	124
721	321	123
722	321	123
723	322	122
724	322	122
725	322	121
726	323	121
727	323	121
728	324	120
729	324	120
730	325	119
731	325	119
732	325	118
733	326	118
734	326	117
735	327	117
736	327	116
737	327	116
738	328	115
739	328	115
740	329	115
741	329	114
742	330	114
743	330	113
744	331	113
745	331	112
746	331	112
747	332	111
748	332	111
749	333	111
750	333	110
751	334	110
752	334	109
753	334	109
754	335	108
755	335	108
756	336	108
757	336	107
758	337	107
759	337	106
760	338	106
761	338	105
762	339	105
763	339	104
764	340	104
765	340	104
766	340	103
767	341	103
768	341	102
769	342	102
770	342	101
771	342	101
772	343	100
773	343	100
774	344	99
775	344	99
776	344	99
777	345	98
778	346	98
779	346	97
780	346	97
781	347	96
782	347	96
783	348	95
784	348	95
785	349	95
786	349	94
787	350	94
788	350	93
789	350	93
790	351	92
791	351	92
792	352	91
793	352	91
794	353	91
795	353	90
796	354	90
797	354	89
798	354	89
799	355	88
800	355	88
801	356	87
802	356	87
803	357	87
804	357	86
805	358	86
806	358	85
807	358	85
808	359	84
809	359	84
810	360	83
811	360	83
812	360	83
813	361	82
814	361	82
815	362	81
816	362	81
817	363	80
818	363	80
819	363	79
820	364	79
821	364	78
822	365	78
823	365	78
824	366	77
825	366	77
826	366	76
827	367	76
828	368	75
829	368	75
830	369	75
831	369	74
832	370	74
833	370	73
834	371	73
835	371	72
836	371	72
837	372	71
838	372	71
839	373	71
840	373	70
841	374	70
842	374	69
843	374	69
844	375	68
845	375	68
846	376	67
847	376	67
848	377	67
849	377	66
850	377	66
851	378	65
852	378	65
853	379	64
854	379	64
855	379	63
856	380	63
857	380	63
858	381	62
859	381	62
860	382	61
861	382	61
862	382	60
863	383	60
864	383	59
865	384	59
866	384	58
867	384	58
868	385	58
869	386	57
870	386	57
871	387	56
872	387	56
873	388	56
874	389	55
875	389	55
876	390	54
877	390	54
878	391	53
879	391	53
880	392	52
881	392	52
882	392	52
883	393	51
884	393	51
885	394	50
886	394	50
887	395	49
888	395	49
889	395	48
890	396	48
891	396	48
892	397	47
893	397	47
894	397	46
895	398	46
896	398	45
897	399	45
898	399	44
899	399	44
900	400	43
901	400	43
902	401	43
903	401	42
904	402	42
905	402	41
906	402	41
907	403	40
908	403	40
909	404	39
910	404	39
911	404	39
912	405	38
913	405	38
914	406	37
915	406	37
916	406	36
917	407	36
918	407	35
919	408	35
920	408	35
921	408	34
922	409	34
923	410	33
924	410	33
925	410	32
926	411	32
927	411	31
928	412	31
929	412	31
930	413	30
931	413	30
932	413	29
933	414	29
934	414	28
935	415	28
936	415	27
937	416	27
938	416	27
939	416	26
940	417	26
941	417	25
942	418	25
943	418	24
944	419	24
945	419	23
946	419	23
947	420	23
948	420	22
949	421	22
950	421	21
951	422	21
952	422	20
953	422	20
954	424	19
955	425	19
956	425	19
957	426	18
958	426	18
959	426	17
960	427	17
961	427	16
962	428	16
963	428	16
964	428	15
965	429	15
966	429	14
967	430	14
968	430	13
969	431	13
970	431	12
971	432	12
972	432	12
973	433	11
974	434	11
975	434	10
976	435	10
977	435	9
978	436	9
979	436	8
980	437	8
981	437	8
982	438	7
983	438	7
984	438	6
985	439	6
986	439	5
987	440	5
988	440	4
989	440	4
990	441	4
991	441	3
992	442	3
993	442	2
994	443	2
995	443	1
996	443	1
997	444	0
998	444	0
999	445	0
