iter	Passed	Remaining
0	0	219
1	0	208
2	0	194
3	0	191
4	0	197
5	1	187
6	1	184
7	1	178
8	1	173
9	1	170
10	1	169
11	2	174
12	2	168
13	2	166
14	2	165
15	2	164
16	2	168
17	3	167
18	3	165
19	3	164
20	3	164
21	3	163
22	3	161
23	3	159
24	4	161
25	4	160
26	4	160
27	4	158
28	4	158
29	4	158
30	5	160
31	5	160
32	5	160
33	5	160
34	5	160
35	6	162
36	6	161
37	6	161
38	6	159
39	6	160
40	6	159
41	7	160
42	7	160
43	7	159
44	7	158
45	7	157
46	7	157
47	7	157
48	8	156
49	8	156
50	8	155
51	8	156
52	8	155
53	8	156
54	9	156
55	9	155
56	9	155
57	9	155
58	9	154
59	9	154
60	10	154
61	10	154
62	10	154
63	10	153
64	10	154
65	10	153
66	11	153
67	11	153
68	11	153
69	11	153
70	11	153
71	11	152
72	12	153
73	12	153
74	12	152
75	12	152
76	12	151
77	12	151
78	12	150
79	13	150
80	13	150
81	13	149
82	13	149
83	13	148
84	13	148
85	13	148
86	14	148
87	14	148
88	14	148
89	14	148
90	14	148
91	15	148
92	15	147
93	15	147
94	15	147
95	15	146
96	15	146
97	15	146
98	16	145
99	16	146
100	16	145
101	16	145
102	16	144
103	16	145
104	16	144
105	17	144
106	17	144
107	17	144
108	17	144
109	17	143
110	17	143
111	18	143
112	18	143
113	18	143
114	18	142
115	18	142
116	18	142
117	19	142
118	19	142
119	19	142
120	19	142
121	19	142
122	19	142
123	20	142
124	20	142
125	20	142
126	20	142
127	20	142
128	21	143
129	21	142
130	21	143
131	21	144
132	22	145
133	22	145
134	22	146
135	23	146
136	23	146
137	23	146
138	23	147
139	24	148
140	24	148
141	24	148
142	24	147
143	24	147
144	25	147
145	25	147
146	25	147
147	25	147
148	25	146
149	25	146
150	26	146
151	26	146
152	26	145
153	26	145
154	26	145
155	26	145
156	26	144
157	27	144
158	27	144
159	27	143
160	27	143
161	27	143
162	27	142
163	27	142
164	28	142
165	28	142
166	28	141
167	28	141
168	28	141
169	28	141
170	29	140
171	29	140
172	29	140
173	29	139
174	29	139
175	29	138
176	29	138
177	30	138
178	30	138
179	30	138
180	30	137
181	30	137
182	30	137
183	30	137
184	31	136
185	31	136
186	31	136
187	31	135
188	31	135
189	31	135
190	31	135
191	32	134
192	32	134
193	32	134
194	32	134
195	32	134
196	32	134
197	33	133
198	33	133
199	33	133
200	33	133
201	33	133
202	33	132
203	33	132
204	34	132
205	34	132
206	34	132
207	34	131
208	34	131
209	34	131
210	35	131
211	35	131
212	35	130
213	35	130
214	35	130
215	35	130
216	36	130
217	36	129
