iter	RMSE
0	9732.664038
1	9323.384515
2	8911.147365
3	8542.669805
4	8167.904787
5	7832.066663
6	7500.729668
7	7206.529293
8	6925.975781
9	6668.697349
10	6402.646093
11	6170.545043
12	5942.397729
13	5723.855007
14	5508.629244
15	5309.74388
16	5135.937852
17	4962.99649
18	4814.821258
19	4644.932213
20	4501.266913
21	4357.529395
22	4215.372039
23	4078.611876
24	3952.755439
25	3841.988873
26	3720.334422
27	3612.656005
28	3517.888322
29	3432.66916
30	3329.46762
31	3245.976979
32	3164.892359
33	3097.780196
34	3031.694848
35	2956.290873
36	2877.318653
37	2814.209038
38	2752.738998
39	2692.711982
40	2636.152182
41	2591.990857
42	2540.301575
43	2487.795028
44	2436.137751
45	2392.029671
46	2349.399206
47	2309.13536
48	2275.238
49	2240.739033
50	2207.179832
51	2174.205386
52	2145.84447
53	2120.442827
54	2088.286816
55	2057.567574
56	2027.938693
57	2005.096317
58	1980.273661
59	1959.144559
60	1933.566426
61	1912.105665
62	1891.168006
63	1867.110585
64	1851.399907
65	1832.338753
66	1811.15701
67	1797.495593
68	1781.691697
69	1766.425868
70	1746.867179
71	1732.34677
72	1720.162759
73	1708.043284
74	1690.071609
75	1676.308505
76	1659.834607
77	1648.876608
78	1628.902119
79	1619.441063
80	1608.609962
81	1597.838929
82	1582.962461
83	1573.696559
84	1563.64125
85	1554.828479
86	1547.174836
87	1537.182125
88	1524.253127
89	1514.755915
90	1507.77471
91	1497.197157
92	1491.518755
93	1480.7903
94	1472.735831
95	1463.648285
96	1454.857631
97	1445.857207
98	1436.09074
99	1425.479888
100	1417.409279
101	1410.973546
102	1400.176551
103	1394.250016
104	1388.706907
105	1382.101212
106	1376.40419
107	1371.751143
108	1364.885545
109	1358.366235
110	1353.106684
111	1345.146241
112	1341.811031
113	1334.216124
114	1330.348908
115	1326.266156
116	1320.44483
117	1311.774946
118	1307.057209
119	1303.056272
120	1296.144913
121	1291.517904
122	1286.15116
123	1280.878035
124	1275.344621
125	1269.866819
126	1264.042476
127	1256.164836
128	1252.071049
129	1249.036815
130	1244.145289
131	1238.400629
132	1234.216016
133	1230.91161
134	1226.90297
135	1223.675621
136	1219.0025
137	1216.493034
138	1211.379034
139	1206.605081
140	1204.375743
141	1200.296806
142	1197.002135
143	1193.452577
144	1190.458435
145	1187.629564
146	1183.598048
147	1180.919035
148	1177.641562
149	1175.067387
150	1172.462895
151	1168.356017
152	1164.501674
153	1162.762519
154	1159.695578
155	1157.223096
156	1155.179518
157	1152.956653
158	1150.306225
159	1147.983958
160	1145.75216
161	1144.461976
162	1141.338382
163	1139.589329
164	1136.503896
165	1133.764342
166	1131.544334
167	1129.595507
168	1127.803267
169	1126.136418
170	1124.700075
171	1122.803805
172	1121.430545
173	1117.57127
174	1115.584873
175	1113.805472
176	1111.07259
177	1109.375162
178	1107.516186
179	1106.078965
180	1101.977695
181	1099.834583
182	1098.629417
183	1095.996519
184	1094.300711
185	1092.709268
186	1091.171063
187	1089.434193
188	1087.106965
189	1085.959454
190	1083.778673
191	1081.75078
192	1079.413084
193	1076.947704
194	1073.670552
195	1072.356313
196	1070.372841
197	1066.866912
198	1063.768331
199	1062.532026
200	1061.071559
201	1059.790808
202	1058.793029
203	1055.580059
204	1054.57835
205	1051.748019
206	1048.768408
207	1047.809193
208	1046.863132
209	1044.991159
210	1042.292614
211	1040.494122
212	1039.238022
213	1037.440817
214	1034.990738
215	1033.794339
216	1032.561732
217	1030.67484
218	1029.931531
219	1028.343616
220	1027.193917
221	1026.466951
222	1024.70282
223	1023.629772
224	1022.759678
225	1021.891664
226	1020.888297
227	1020.184382
228	1017.928948
229	1017.190889
230	1015.825637
231	1014.506278
232	1013.199398
233	1012.023378
234	1011.479598
235	1010.62989
236	1009.212908
237	1008.142
238	1007.25275
239	1005.664025
240	1004.711392
241	1003.308174
242	1002.690346
243	1001.923683
244	1000.405492
245	998.4591546
246	997.2073516
247	996.3309549
248	994.4656204
249	993.5545066
250	992.7196074
251	992.0054514
252	991.4908746
253	990.9710098
254	990.5197852
255	989.1626979
256	988.2417995
257	987.4360841
258	985.9089544
259	985.014915
260	984.144479
261	982.846753
262	981.2575872
263	980.4100545
264	979.464935
265	979.0866104
266	977.9430165
267	976.6387159
268	976.1372781
269	974.911043
270	973.2135179
271	972.5673032
272	971.3957459
273	971.2133051
274	970.9633936
275	969.9069664
276	969.0294151
277	968.3612756
278	967.5390881
279	966.7247303
280	964.635532
281	963.2275255
282	962.4757515
283	961.8027636
284	961.1626774
285	960.6170932
286	959.9097898
287	959.4192569
288	957.9014253
289	956.4799485
290	955.8788569
291	955.3776425
292	954.6230396
293	952.8319748
294	952.0939962
295	951.7229647
296	950.9959295
297	950.1807932
298	949.5134869
299	948.3096062
300	947.2830901
301	945.9914021
302	945.424789
303	944.7556648
304	943.4462825
305	942.9475012
306	941.9376296
307	940.5995326
308	939.3102763
309	938.8335629
310	938.2388018
311	937.7543684
312	936.7063041
313	935.8118976
314	934.9610797
315	933.7820223
316	932.6069491
317	931.7763603
318	931.2616134
319	930.3047736
320	929.2187588
321	928.5433771
322	927.4359319
323	926.1050574
324	925.6234228
325	925.0317232
326	924.5311289
327	923.4212752
328	922.9647235
329	922.0603074
330	921.2245965
331	920.1182873
332	919.3050139
333	918.9492638
334	917.7557069
335	916.6345506
336	916.510407
337	915.6008939
338	915.481239
339	914.8345216
340	914.7181401
341	913.7048946
342	913.0535998
343	912.5728969
344	911.5350339
345	910.7362333
346	910.628848
347	910.1347518
348	909.4858592
349	909.0678914
350	908.2030992
351	907.5290132
352	907.4257937
353	906.4586627
354	905.4740511
355	905.0394212
356	904.4085612
357	903.6428624
358	902.9291711
359	901.5846694
360	900.8768302
361	899.9725216
362	899.0177098
363	898.5493594
364	898.1233774
365	897.4408587
366	897.1550102
367	897.0599822
368	896.1557789
369	896.0525933
370	895.7960258
371	895.1782927
372	894.5388247
373	893.9179749
374	893.3105905
375	892.9193722
376	892.8238216
377	892.4636266
378	891.4645761
379	890.9369698
380	890.0937273
381	889.1396535
382	888.7371882
383	888.5017717
384	888.4107659
385	887.8705966
386	887.7833101
387	887.698723
388	887.3748818
389	887.088711
390	886.1092087
391	885.4159188
392	885.1109195
393	885.0307447
394	884.4135682
395	883.7295838
396	883.6611626
397	883.458902
398	883.3827877
399	883.2249282
400	882.4678425
401	882.2834913
402	881.6395086
403	881.3295361
404	880.6157687
405	880.4035762
406	880.0715394
407	879.9039357
408	878.8620986
409	878.7360595
410	878.2709753
411	878.2048783
412	877.2380311
413	876.9699725
414	876.3766475
415	876.2620608
416	876.1102054
417	875.5884005
418	874.5602898
419	874.0312777
420	873.5503611
421	873.4989724
422	872.6099525
423	871.9128616
424	870.7608101
425	870.1099857
426	869.6119218
427	869.5218662
428	869.0720862
429	868.5245912
430	867.8637438
431	867.5171038
432	867.2087685
433	866.9713244
434	866.4629876
435	865.8943524
436	865.3586184
437	865.2538838
438	864.7233187
439	864.2199704
440	863.8155653
441	862.9665429
442	862.5114276
443	861.7054262
444	861.2192154
445	861.1225367
446	860.1565841
447	859.9819711
448	859.2989507
449	858.8241356
450	858.2820915
451	858.2393046
452	857.7740393
453	857.3485576
454	856.5503459
455	856.5025912
456	856.462133
457	856.2723311
458	855.5833675
459	855.4535549
460	855.3354529
461	854.5965425
462	853.9789005
463	853.6028539
464	853.3211131
465	852.642625
466	851.684891
467	851.3512865
468	850.8721301
469	850.5175249
470	850.1047189
471	850.0028793
472	849.620093
473	849.4171677
474	849.0715653
475	848.6925631
476	848.2118408
477	847.504432
478	847.3850795
479	847.1220899
480	846.6836788
481	846.289462
482	845.7870277
483	845.3533631
484	845.1479125
485	844.9101102
486	844.5542657
487	844.2519362
488	843.7251019
489	843.2711847
490	842.9118136
491	842.5170841
492	842.1494015
493	841.5230488
494	841.4480526
495	841.1151906
496	840.5506979
497	840.2446115
498	839.8445547
499	839.7778748
500	839.4472727
501	839.1227396
502	838.7418698
503	838.704867
504	838.6263181
505	838.1600121
506	837.6150568
507	837.4384805
508	837.3490484
509	836.6665713
510	836.3166811
511	836.0304832
512	835.5374058
513	834.7706472
514	834.6978739
515	834.2490401
516	833.8244557
517	833.791373
518	833.7279525
519	833.4660318
520	833.399208
521	833.0253177
522	832.6935567
523	832.5094928
524	832.4859819
525	831.9459387
526	831.385979
527	830.9899806
528	830.5219457
529	830.2436337
530	829.982213
531	829.7497025
532	829.2367009
533	828.7034347
534	828.3576089
535	827.9136528
536	827.8308881
537	827.4627016
538	826.9876033
539	826.2753755
540	826.180668
541	825.8929223
542	825.4899734
543	824.7744431
544	824.3581566
545	823.8535832
546	823.4153679
547	823.3226284
548	822.8384117
549	822.7420591
550	822.6040605
551	822.0058831
552	821.9165828
553	821.699772
554	821.365248
555	820.9067717
556	820.5842173
557	820.5146395
558	820.1832048
559	820.1041665
560	819.7335581
561	819.4165091
562	819.0328994
563	818.726487
564	818.4631027
565	818.3134584
566	818.0232476
567	817.8320975
568	817.7411368
569	817.4031056
570	817.1022351
571	816.8830779
572	816.5672425
573	816.2074387
574	815.9261119
575	815.8423203
576	815.5330609
577	815.0849704
578	815.0273479
579	814.7964771
580	814.3158124
581	814.059667
582	813.9305208
583	813.8534188
584	813.5692726
585	813.257548
586	812.6337895
587	812.2393074
588	811.9364589
589	811.6049817
590	811.2743765
591	811.1112058
592	811.0368248
593	810.7260295
594	810.3798794
595	810.0185199
596	809.9985219
597	809.5695668
598	809.1813144
599	808.9151741
600	808.8296687
601	808.6295921
602	808.3942716
603	808.2421501
604	807.8604042
605	807.6104197
606	807.1738481
607	806.8259443
608	806.5440086
609	806.4662634
610	806.0964724
611	806.0214619
612	805.5952916
613	805.5233255
614	805.1826064
615	805.1711564
616	804.8590997
617	804.5914053
618	804.3289501
619	803.980488
620	803.6412123
621	803.4119153
622	803.1323171
623	802.787737
624	802.5367002
625	802.1873874
626	801.9408778
627	801.7242546
628	801.261587
629	800.9705014
630	800.6947656
631	800.401278
632	800.288695
633	800.0179944
634	799.8317673
635	799.5382876
636	799.3234079
637	798.9644853
638	798.7605501
639	798.3245784
640	797.9902204
641	797.767438
642	797.6566223
643	797.401887
644	797.1239401
645	796.8759723
646	796.5574768
647	796.334784
648	795.6620032
649	795.5066155
650	795.1354463
651	794.9895341
652	794.9262927
653	794.3133337
654	794.1000157
655	793.9977782
656	793.718669
657	793.6593239
658	793.2622546
659	793.0278352
660	792.8831994
661	792.6105011
662	792.5990357
663	792.4150535
664	792.4039483
665	792.0558109
666	791.8529133
667	791.5926152
668	791.3597961
669	790.9738868
670	790.8885826
671	790.696097
672	790.5388157
673	790.2771607
674	790.0692643
675	789.8404674
676	789.7841365
677	789.3872768
678	789.3106046
679	789.0716739
680	788.5251733
681	788.1557423
682	787.867453
683	787.7320031
684	787.1911317
685	787.0792908
686	786.7531027
687	786.3797682
688	786.3692367
689	786.1581336
690	785.7786432
691	785.5832288
692	785.2734031
693	785.0450849
694	784.8371451
695	784.6409072
696	784.2416685
697	783.8998863
698	783.6239706
699	783.2555513
700	783.0048447
701	782.8540167
702	782.4868224
703	782.2355279
704	782.0091522
705	781.7773573
706	781.4817199
707	781.2449493
708	780.9794959
709	780.842417
710	780.5584516
711	780.4325153
712	780.2274734
713	780.0315761
714	779.909717
715	779.5333036
716	779.2942414
717	779.0032312
718	778.819041
719	778.6071323
720	778.4228922
721	778.2145164
722	778.0354394
723	777.6938364
724	777.4249453
725	777.0217809
726	776.7143344
727	776.5196023
728	776.1769444
729	775.8316675
730	775.6451736
731	775.306119
732	775.0353922
733	774.6113961
734	774.4216858
735	774.4120765
736	774.2331353
737	773.9773661
738	773.7943525
739	773.4563043
740	773.3404498
741	773.0764169
742	772.6418482
743	772.3553771
744	772.1638206
745	771.8522295
746	771.6190896
747	771.4319497
748	771.1426735
749	770.974138
750	770.7885295
751	770.4553728
752	770.4460973
753	770.0432828
754	769.7322558
755	769.5133516
756	769.3284966
757	769.3196429
758	769.0011909
759	768.6888283
760	768.3889641
761	768.1317376
762	767.8655612
763	767.6767449
764	767.375196
765	766.9700884
766	766.7599498
767	766.38914
768	766.1030036
769	765.916366
770	765.6267822
771	765.3868026
772	765.181846
773	765.0499089
774	764.6937971
775	764.5325161
776	764.3119855
777	764.2602235
778	763.9010228
779	763.6356143
780	763.4493278
781	763.0809449
782	762.6684582
783	762.356076
784	762.1564304
785	761.8559622
786	761.7668806
787	761.5778679
788	761.3378523
789	761.3293019
790	761.0458444
791	760.8465115
792	760.6391423
793	760.3707956
794	759.9416782
795	759.7277694
796	759.5253108
797	759.3878406
798	759.249564
799	759.0856003
800	758.9024294
801	758.8228382
802	758.5838688
803	758.4801633
804	758.3523526
805	758.0716761
806	758.0611997
807	757.9373068
808	757.7654016
809	757.3653049
810	757.0647729
811	756.7782874
812	756.5029498
813	756.2597163
814	756.1053048
815	756.0952429
816	755.9697924
817	755.8032799
818	755.5807114
819	755.5708361
820	755.4249934
821	755.2778317
822	755.0668164
823	754.8241527
824	754.7179775
825	754.4247568
826	754.0372637
827	753.8230766
828	753.6793703
829	753.5888871
830	753.3727624
831	753.0108132
832	752.8494494
833	752.840367
834	752.7213278
835	752.5747629
836	752.2266958
837	751.9829424
838	751.7817405
839	751.6364262
840	751.6290178
841	751.6203113
842	751.3602586
843	751.1615799
844	750.9737311
845	750.8141815
846	750.787937
847	750.763702
848	750.5263046
849	750.3234219
850	750.0973685
851	749.7907442
852	749.6836907
853	749.6733167
854	749.3838365
855	749.0100453
856	748.7595887
857	748.5803566
858	748.4362955
859	748.2520504
860	747.8698391
861	747.8622444
862	747.6217694
863	747.4695979
864	747.2026304
865	747.0319643
866	746.8696354
867	746.6901122
868	746.5636448
869	746.4701503
870	746.1133353
871	745.9351335
872	745.9289576
873	745.7596325
874	745.5584285
875	745.367804
876	745.1675597
877	745.0177922
878	744.8751073
879	744.7272507
880	744.5458329
881	744.2822298
882	744.2581152
883	744.0809226
884	743.8811975
885	743.7206547
886	743.7135405
887	743.3667483
888	743.0668936
889	742.9729771
890	742.629694
891	742.6240895
892	742.502038
893	742.2875639
894	742.2048012
895	742.0599043
896	741.7659373
897	741.4436513
898	741.1852766
899	741.0146429
900	740.6262815
901	740.6208375
902	740.5128584
903	740.3119777
904	740.1771665
905	739.8471554
906	739.5223168
907	739.3945431
908	739.2692763
909	739.1471671
910	738.9776839
911	738.8952875
912	738.4447351
913	738.3480758
914	738.0345661
915	738.0129549
916	737.823866
917	737.4800967
918	737.2843234
919	736.9653399
920	736.7847185
921	736.5223715
922	736.2458315
923	736.0498787
924	735.9147781
925	735.7889341
926	735.4191103
927	735.3042618
928	735.00461
929	734.8797548
930	734.6519143
931	734.5577389
932	734.4314671
933	734.1498082
934	734.0059972
935	733.846911
936	733.58942
937	733.5163778
938	733.2523181
939	732.9971855
940	732.5925417
941	732.447567
942	732.1011122
943	731.9353154
944	731.6367924
945	731.4856981
946	731.3954478
947	731.1350677
948	730.7235237
949	730.5727906
950	730.1700772
951	730.0378541
952	729.918903
953	729.827725
954	729.5386279
955	729.3668858
956	729.0490644
957	728.9882669
958	728.7152894
959	728.6315154
960	728.492237
961	728.2913708
962	728.1278063
963	727.9786595
964	727.6011776
965	727.3816239
966	726.9052258
967	726.7934008
968	726.5153601
969	726.3431877
970	726.0464912
971	725.8850494
972	725.6218283
973	725.4751716
974	725.3118666
975	725.1868759
976	725.0815332
977	724.9957326
978	724.7432801
979	724.5710981
980	724.4602982
981	724.280214
982	724.1055054
983	723.9891508
984	723.8364361
985	723.5966315
986	723.2926969
987	723.1429542
988	723.0381934
989	722.8546577
990	722.6777843
991	722.4315387
992	722.2615755
993	721.9747407
994	721.8922817
995	721.6262409
996	721.3945058
997	721.2794523
998	721.0658557
999	720.9015245
