iter	Passed	Remaining
0	0	648
1	1	596
2	1	576
3	2	569
4	2	563
5	3	549
6	3	539
7	4	534
8	4	531
9	5	539
10	5	535
11	6	540
12	7	535
13	7	536
14	8	539
15	8	537
16	9	538
17	9	541
18	10	537
19	10	538
20	11	538
21	12	534
22	12	531
23	13	530
24	13	531
25	14	530
26	14	528
27	15	525
28	15	527
29	16	525
30	16	523
31	17	526
32	17	525
33	18	525
34	19	526
35	19	525
36	20	525
37	20	523
38	21	520
39	21	520
40	22	518
41	22	516
42	23	514
43	23	514
44	24	512
45	24	510
46	25	510
47	25	509
48	26	508
49	26	508
50	27	506
51	27	507
52	28	506
53	28	504
54	29	503
55	29	504
56	30	503
57	30	501
58	31	502
59	32	503
60	32	502
61	33	503
62	33	502
63	34	502
64	34	500
65	35	501
66	35	500
67	36	499
68	37	499
69	37	498
70	38	497
71	38	497
72	39	496
73	39	496
74	40	495
75	40	496
76	41	495
77	41	495
78	42	495
79	43	494
80	43	494
81	44	493
82	44	493
83	45	492
84	45	491
85	46	490
86	46	490
87	47	491
88	48	491
89	48	491
90	49	490
91	49	489
92	50	488
93	50	487
94	51	486
95	51	485
96	52	484
97	52	483
98	53	483
99	53	482
100	54	481
101	54	481
102	55	480
103	55	481
104	56	480
105	56	479
106	57	478
107	57	478
108	58	477
109	58	476
110	59	477
111	60	479
112	60	478
113	61	478
114	61	476
115	62	475
116	63	480
117	64	483
118	65	482
119	65	481
120	66	481
121	66	480
122	67	480
123	67	479
124	68	478
125	68	477
126	69	476
127	69	475
128	70	474
129	70	474
130	71	473
131	71	472
132	72	471
133	72	470
134	73	469
135	73	468
136	74	468
137	74	467
138	75	465
139	75	465
140	76	463
141	76	462
142	77	461
143	77	461
144	78	461
145	78	460
146	79	460
147	79	459
148	80	458
149	80	458
150	81	458
151	82	457
152	82	457
153	83	456
154	83	455
155	84	454
156	85	457
157	85	456
158	86	456
159	86	455
160	87	454
161	87	453
162	88	453
163	88	452
164	89	452
165	89	451
166	90	451
167	91	450
168	91	451
169	92	450
170	92	449
171	93	449
172	93	448
173	94	447
174	94	447
175	95	446
176	95	446
177	96	445
178	96	444
179	97	445
180	98	444
181	98	443
182	99	443
183	99	442
184	100	442
185	100	440
186	101	440
187	101	439
188	102	438
189	102	437
190	103	437
191	103	436
192	104	436
193	104	435
194	105	435
195	105	434
196	106	433
197	106	432
198	107	434
199	108	433
200	108	432
201	109	431
202	109	431
203	110	431
204	110	430
205	111	429
206	111	428
207	112	427
208	112	427
209	113	427
210	114	426
211	114	426
212	115	425
213	115	424
214	116	424
215	116	423
216	117	423
217	117	422
218	118	421
219	118	420
220	119	420
221	119	419
222	120	419
223	120	418
224	121	418
225	121	417
226	122	417
227	123	416
228	123	416
229	124	416
230	124	415
231	125	414
232	125	414
233	126	413
234	127	413
235	127	412
236	127	412
237	128	411
238	129	410
239	129	410
240	130	409
241	130	408
242	131	408
243	131	407
244	132	407
245	132	406
246	133	406
247	134	407
248	134	406
249	135	406
250	135	405
251	136	404
252	136	404
253	137	403
254	138	403
255	138	402
256	139	402
257	139	402
258	140	401
259	140	401
260	141	400
261	142	400
262	142	399
263	142	398
264	143	397
265	144	397
266	144	396
267	145	396
268	145	395
269	146	394
270	146	394
271	147	394
272	147	393
273	148	393
274	148	392
275	149	391
276	149	391
277	150	390
278	150	389
279	151	389
280	151	388
281	152	387
282	152	387
283	153	386
284	154	386
285	154	385
286	154	384
287	155	384
288	156	383
289	156	383
290	157	382
291	157	381
292	157	381
293	158	380
294	159	380
295	159	379
296	160	378
297	160	378
298	161	377
299	161	377
300	162	376
301	162	376
302	163	375
303	163	374
304	164	373
305	164	373
306	165	372
307	165	371
308	165	371
309	166	370
310	166	369
311	167	369
312	168	368
313	168	368
314	169	367
315	169	366
316	170	366
317	170	365
318	171	365
319	172	366
320	172	365
321	173	365
322	173	364
323	174	363
324	175	363
325	175	362
326	175	362
327	176	361
328	176	360
329	177	360
330	178	359
331	179	360
332	179	359
333	180	359
334	180	358
335	181	358
336	181	357
337	182	356
338	182	356
339	183	355
340	183	355
341	184	354
342	184	354
343	185	353
344	185	352
345	186	352
346	186	351
347	187	351
348	187	350
349	188	350
350	188	349
351	189	348
352	189	348
353	190	347
354	190	346
355	191	346
356	191	345
357	192	344
358	192	344
359	193	343
360	193	343
361	194	342
362	194	341
363	195	341
364	195	340
365	196	340
366	197	339
367	197	339
368	198	338
369	198	337
370	198	337
371	199	336
372	199	336
373	200	335
374	200	334
375	201	334
376	201	333
377	202	332
378	202	332
379	203	331
380	203	331
381	205	331
382	205	331
383	206	330
384	206	329
385	207	329
386	207	328
387	208	328
388	208	327
389	208	326
390	209	326
391	210	326
392	210	325
393	211	325
394	212	325
395	213	325
396	213	324
397	214	323
398	214	323
399	215	322
400	215	322
401	216	321
402	216	320
403	217	320
404	217	319
405	218	318
406	218	318
407	219	317
408	219	317
409	220	316
410	220	316
411	221	315
412	221	315
413	222	314
414	222	314
415	223	313
416	223	312
417	224	312
418	224	311
419	225	311
420	225	310
421	226	309
422	226	309
423	227	308
424	227	308
